id,lat,lon,name
132866212,,,Brintnell Park
136332986,,,Miwasin Park
136333020,,,Chalmers Park
136333032,,,Touchdown Park
136339027,,,Mary Finlay Park
136508483,,,Unknown
143310738,,,Eton Park
143310780,,,Crystal Heights Park
143310802,,,Strathcona Village Park
143328264,,,Dawson Crescent Park
143328266,,,Carson Park
143328270,,,Sunflower Crescent Park
143328279,,,Clarkdale Park
143420276,,,Maple Downs Park
143420290,,,Unknown
143420291,,,Unknown
143420296,,,Unknown
143420319,,,Unknown
144031969,,,Unknown
149273672,,,Allin Park
149279963,,,Unknown
149279965,,,Unknown
149285350,,,Eddy Mark Shaske Jr. Park
149379249,,,Johnny Bright Sports Park
149557848,,,Unknown
149570711,,,Meadowlark Park
149599124,,,John Devoldere Memorial Park
149600148,,,Unknown
149605507,,,Westridge Park
156366198,,,Lynnwood Athletic Field
156374944,,,Lynnwood Park
157951769,,,Westmount Park 2
157951773,,,Westmount Park
157951774,,,Malcolm Groat Park
157951776,,,Westmount Park 1
157958164,,,Summercourt Park
158038671,,,Summerton Park
158408825,,,Unknown
158410878,,,Tomlinson Park
158411367,,,Unknown
158412186,,,Unknown
158546309,,,Unknown
158802849,,,Unknown
158803390,,,Unknown
159264834,,,Forest Park
159283222,,,Alderwood Park
159289212,,,Attwood Park
159347840,,,Flagstone Park
159359245,,,Pembroke Park
159359249,,,Princeton Park
160836785,,,Rossdale Park 3
160836786,,,Rossdale Park
160836787,,,Irene Parlby Park
160836790,,,McDougall Park
160836792,,,Rossdale Park
160836793,,,Veterans Park
160836794,,,Beatrice Carmichael Park
160836797,,,McKay School Park
160975918,,,Westwood Arena
160978450,,,Alberta Avenue Park 4
160978451,,,Alberta Avenue Park 6
160978452,,,Alberta Avenue Park 5
160978454,,,Unknown
160978458,,,Alberta Avenue Park 7
160978460,,,Alberta Avenue Park 8
160982192,,,Spruce Avenue Park
161302721,,,Unknown
161394882,,,Unknown
161397652,,,Oxford Park
161397653,,,Orval Allen Park
161491301,,,Belle RIve Park
161491305,,,Unknown
161491308,,,Unknown
161491311,,,Unknown
161493615,,,Unknown
161493616,,,Unknown
161494085,,,Unknown
161494086,,,Unknown
161495562,,,Unknown
161495563,,,Unknown
161496137,,,Unknown
161496139,,,Unknown
161496140,,,Unknown
161496141,,,Unknown
161506286,,,Beaumaris Park
162143273,,,Centennial Park
162145604,,,Millennium Park
162145615,,,Unknown
162155464,,,Windermere Park
162155466,,,Woodlands Park
162155468,,,Unknown
162158529,,,Unknown
162158532,,,Unknown
162161865,,,Unknown
162161867,,,Unknown
162511824,,,Alexander Circle
162513713,,,104 Avenue Transit Centre
162732081,,,Londonderry Athletic Grounds
162885396,,,Unknown
162961542,,,Kennedale Ravine Park
162961596,,,Unknown
162964537,,,Unknown
162964553,,,Unknown
163844290,,,Unknown
163845814,,,Unknown
163860953,,,Laurier Heights Park
163863015,,,Unknown
164873887,,,Rainbow Park
166622267,,,Capilano Park
166622272,,,Goldstick Park
170180908,,,Unknown
170180915,,,Unknown
170250424,,,Unknown
170252470,,,Unknown
170401447,,,Unknown
170404161,,,Village on the Lake Sports Grounds
175324271,,,Craigavon Park
179661884,,,Regency Park
185315496,,,Ken Newman Park
185332308,,,Unknown
185332381,,,Unknown
185498172,,,Eastwood Park
186165015,,,Beacon Heights Park
186165033,,,Unknown
186654864,,,Unknown
186654865,,,Unknown
186657088,,,Unknown
186996238,,,Unknown
186996485,,,Unknown
187044681,,,Henry Martell Park
187058458,,,Unknown
189877235,,,Maskepetoon Park
191302252,,,Canora Park
191302254,,,Unknown
191302257,,,Unknown
191302259,,,Unknown
191527422,,,Buttercup Farm Park
191528790,,,Unknown
191791204,,,Belmead Park
191793838,,,Kingfisher Park
195823733,,,Duncan Innes Park
198824649,,,Unknown
198824658,,,Unknown
198826611,,,Unknown
201662222,,,Constable Dan Woodall Park
201662626,,,Magrath Heights Park
201664604,,,Unknown
204083894,,,Unknown
217567443,,,Lauderdale Park
217568527,,,Rosslyn Park
217654799,,,Engineering Quad
219363381,,,Unknown
219408523,,,Unknown
219488210,,,Kitchener Park
219488225,,,Oliver Park
220366116,,,Stuart Davis Plaza
220647182,,,Greengrove Park
