DAdguid,PRCDDA,Province,Dissemination area (DA) Population,Situational vulnerability Quintiles,Situational vulnerability Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,DArplat,DArplong,DApop_2021,DAtdwell_2021,DAurdwell_2021,DArplamx,DArplamy,CTcode,the_geom,CCSNAME,LANDAREA,PRUID,DAUID,_predicate,Boundary Type
2021S051248110287,48110287,Alberta,351,1,-0.739,3,-0.147,1,-0.859,2,-0.54,53.626756,-113.519104,307.0,114.0,112.0,4816543.5047,2177334.4224,5067,"MULTIPOLYGON (((-113.51680948829113 53.6255091071228, -113.517391608924 53.625379991829384, -113.52021970632488 53.62537441173733, -113.52032910143353 53.62543509910446, -113.52035989797963 53.62620568942192, -113.52218291422179 53.62659168755977, -113.52180122408178 53.62729210161477, -113.52163950035234 53.6281317035061, -113.52020279410809 53.62813501130417, -113.5176464942103 53.62813479810004, -113.51755200167094 53.628073901153776, -113.51742232188052 53.62767210820167, -113.51720204462771 53.62719454901211, -113.51663945441688 53.6265644454203, -113.51590229112468 53.626022706327944, -113.51594179223004 53.62592289707668, -113.51680948829113 53.6255091071228)))",Edmonton,0.0906,48,48110287.0,INTERSECTS,Census Dissemination Area
2021S051248110288,48110288,Alberta,1128,4,0.111,5,1.381,1,-0.864,2,-0.351,53.624764,-113.510595,863.0,319.0,303.0,4816993.182,2176943.5947,5068,"MULTIPOLYGON (((-113.50771289430305 53.6253943925482, -113.507760214839 53.624916895092994, -113.50795850110201 53.62443619686377, -113.50814048779593 53.624189696788726, -113.5086756150569 53.624286300622124, -113.5096438889421 53.62429301202761, -113.5126390113695 53.62430199590804, -113.51415511156642 53.62309229270323, -113.51416491986622 53.623002304042984, -113.51410237556445 53.62296759555686, -113.51225797762498 53.622727596604356, -113.51077521663832 53.62271379862666, -113.50943801338674 53.62260700555649, -113.50974400383582 53.62164751256112, -113.51377438642031 53.62203040528146, -113.51604851434873 53.62237820283937, -113.51864300086658 53.6227732026864, -113.51825479441709 53.6233657959581, -113.51759800969157 53.62401800674826, -113.51675767949679 53.624637993588806, -113.51610174879299 53.62497221545044, -113.5143649104614 53.62585719210682, -113.51084908170958 53.62752249142537, -113.50971251667754 53.6279958934531, -113.50847098428834 53.62670020712274, -113.50790071414089 53.62601088917386, -113.50771289430305 53.6253943925482)))",Edmonton,0.2383,48,48110288.0,INTERSECTS,Census Dissemination Area
2021S051248110289,48110289,Alberta,294,1,-0.901,5,0.891,1,-0.933,4,0.283,53.621181,-113.511706,318.0,108.0,107.0,4816793.9001,2176597.6116,3802,"MULTIPOLYGON (((-113.51090027781379 53.61972609561844, -113.51141870759155 53.61954439027656, -113.51198949573707 53.619478494525595, -113.5127427006611 53.61947879167013, -113.51409151542518 53.61947930590952, -113.5145186076969 53.619542192757564, -113.51481149488801 53.61963491114609, -113.51526720363023 53.61992210324921, -113.51548121029498 53.62021430168516, -113.51590621426135 53.621257291705824, -113.51611128292188 53.621909405863676, -113.51604851434873 53.62237820283937, -113.51377438642031 53.62203040528146, -113.50974400383582 53.62164751256112, -113.50990859920347 53.620852911554344, -113.51042478052297 53.62012269813249, -113.51065260871748 53.619884184354206, -113.51090027781379 53.61972609561844)))",Edmonton,0.0994,48,48110289.0,INTERSECTS,Census Dissemination Area
2021S051248110291,48110291,Alberta,1091,4,-0.024,5,0.925,2,-0.625,4,0.131,53.622843,-113.505755,1105.0,427.0,408.0,4817220.1406,2176639.8869,5068,"MULTIPOLYGON (((-113.50509640137203 53.62539530167894, -113.50178401331156 53.62539268397227, -113.50115379126007 53.62547781044067, -113.50088977677207 53.62331649449402, -113.50061679027979 53.62292009668066, -113.50043401310066 53.62274518653635, -113.50008229486765 53.62254450564837, -113.4998960907185 53.62247269708827, -113.49908801595588 53.6222572044082, -113.49771030537572 53.62223211027111, -113.49628782138498 53.62221680352215, -113.4962952053092 53.621317491102744, -113.49617191462812 53.61999840800677, -113.49617960560624 53.61935990301883, -113.49761659070671 53.619365915582904, -113.49891760914086 53.61937471153594, -113.49999160104286 53.619379209307986, -113.50031686435923 53.619349023336795, -113.50028103775881 53.62014028497698, -113.50028273254182 53.620866656175416, -113.50033858711691 53.6209003982169, -113.50186619361439 53.620904391559336, -113.50220169380573 53.62095139248458, -113.5031507098129 53.62139910365033, -113.50335582085283 53.6213026244789, -113.50361806660578 53.621070749330265, -113.50423233750719 53.620022704792014, -113.50583761026624 53.62080330467512, -113.506938720805 53.6212658050854, -113.50710861043078 53.62132518905902, -113.50837498202436 53.6215143901851, -113.50974400383582 53.62164751256112, -113.50943801338674 53.62260700555649, -113.51077521663832 53.62271379862666, -113.51225797762498 53.622727596604356, -113.51410237556445 53.62296759555686, -113.51416491986622 53.623002304042984, -113.51415511156642 53.62309229270323, -113.5126390113695 53.62430199590804, -113.5096438889421 53.62429301202761, -113.5086756150569 53.624286300622124, -113.50814048779593 53.624189696788726, -113.50795850110201 53.62443619686377, -113.507760214839 53.624916895092994, -113.50771289430305 53.6253943925482, -113.50509640137203 53.62539530167894)))",Edmonton,0.4044,48,48110291.0,INTERSECTS,Census Dissemination Area
2021S051248110292,48110292,Alberta,440,5,0.672,5,3.356,5,1.533,2,-0.357,53.620099,-113.502163,364.0,188.0,179.0,4817340.4057,2176278.3429,5068,"MULTIPOLYGON (((-113.50028103775881 53.62014028497698, -113.50031686435923 53.619349023336795, -113.500938798017 53.61928750138285, -113.5014616111071 53.6191776095684, -113.50282547970359 53.61878824887279, -113.50333212107881 53.61935430806541, -113.50352519149695 53.61959026623499, -113.50377918249673 53.61979282931125, -113.50423233750719 53.620022704792014, -113.50361806660578 53.621070749330265, -113.50335582085283 53.6213026244789, -113.5031507098129 53.62139910365033, -113.50220169380573 53.62095139248458, -113.50186619361439 53.620904391559336, -113.50033858711691 53.6209003982169, -113.50028273254182 53.620866656175416, -113.50028103775881 53.62014028497698)))",Edmonton,0.0493,48,48110292.0,INTERSECTS,Census Dissemination Area
2021S051248110293,48110293,Alberta,773,5,0.624,5,3.03,3,-0.227,4,0.154,53.617672,-113.498383,765.0,266.0,260.0,4817483.9119,2175945.4316,3802,"MULTIPOLYGON (((-113.49340931682288 53.61828480601451, -113.49336510556066 53.61676629951804, -113.49349731505119 53.61670060510915, -113.4947690923169 53.61672799924324, -113.49558017558294 53.61689089592223, -113.4956457143143 53.61671870502027, -113.49599058705337 53.61641480036676, -113.49613580756889 53.61631290262415, -113.49683399589466 53.61610051098855, -113.49814630704155 53.61604610413629, -113.49999248441965 53.61607050310331, -113.50079348898385 53.61606269313422, -113.50225258517777 53.616077792262615, -113.50212694832243 53.61755328928829, -113.50218002450963 53.617943705731065, -113.50227029567867 53.61810419481907, -113.50260132092095 53.618535602744444, -113.50282547970359 53.61878824887279, -113.5014616111071 53.6191776095684, -113.500938798017 53.61928750138285, -113.50031686435923 53.619349023336795, -113.49999160104286 53.619379209307986, -113.49891760914086 53.61937471153594, -113.49761659070671 53.619365915582904, -113.49617960560624 53.61935990301883, -113.49617221638069 53.618721695164375, -113.49595907708976 53.61818669667174, -113.49529988059966 53.61829029361153, -113.49480250202119 53.61831869911137, -113.49340931682288 53.61828480601451)))",Edmonton,0.1782,48,48110293.0,INTERSECTS,Census Dissemination Area
2021S051248110294,48110294,Alberta,755,3,-0.226,5,1.182,1,-0.762,4,0.42,53.615277,-113.498605,764.0,253.0,248.0,4817382.6996,2175702.7925,3802,"MULTIPOLYGON (((-113.49170882345989 53.61765490253535, -113.49167268532311 53.61524609069165, -113.49166111611606 53.61453600049525, -113.49165290145821 53.61414059505581, -113.49184703594491 53.61413961137995, -113.4919890113031 53.61413889622159, -113.49207632045541 53.614140802254695, -113.49271108598994 53.614136512776156, -113.49339181892103 53.61414030411356, -113.49488840305561 53.61413609770008, -113.49661270136039 53.61414510725684, -113.49748361211297 53.614147716831376, -113.50000030675352 53.61415519131284, -113.50229948142444 53.61417010750025, -113.50231358249383 53.61466429822114, -113.50225258517777 53.616077792262615, -113.50079348898385 53.61606269313422, -113.49999248441965 53.61607050310331, -113.49814630704155 53.61604610413629, -113.49683399589466 53.61610051098855, -113.49613580756889 53.61631290262415, -113.49599058705337 53.61641480036676, -113.4956457143143 53.61671870502027, -113.49558017558294 53.61689089592223, -113.4947690923169 53.61672799924324, -113.49349731505119 53.61670060510915, -113.49336510556066 53.61676629951804, -113.49340931682288 53.61828480601451, -113.49480250202119 53.61831869911137, -113.49529988059966 53.61829029361153, -113.49595907708976 53.61818669667174, -113.49617221638069 53.618721695164375, -113.49617960560624 53.61935990301883, -113.49617191462812 53.61999840800677, -113.4962952053092 53.621317491102744, -113.49357210432483 53.62130241082632, -113.49263620161662 53.62133090801884, -113.49201690541074 53.62134380985901, -113.49171481102223 53.6213500950838, -113.49171471080557 53.6213120087943, -113.49171678907129 53.62127304957329, -113.4917209089619 53.62119710228709, -113.49171622033757 53.620603802114616, -113.49170882345989 53.61765490253535)))",Edmonton,0.2912,48,48110294.0,INTERSECTS,Census Dissemination Area
2021S051248110295,48110295,Alberta,533,5,0.509,3,-0.388,2,-0.552,1,-0.827,53.610226,-113.496077,573.0,200.0,193.0,4817353.3762,2175126.0345,6767,"MULTIPOLYGON (((-113.49748361211297 53.614147716831376, -113.49661270136039 53.61414510725684, -113.49488840305561 53.61413609770008, -113.49339181892103 53.61414030411356, -113.49271108598994 53.614136512776156, -113.49207632045541 53.614140802254695, -113.4919890113031 53.61413889622159, -113.49184703594491 53.61413961137995, -113.49165290145821 53.61414059505581, -113.49165571646286 53.61409130503112, -113.49165644271443 53.61406117580664, -113.4916584870579 53.613978614722214, -113.49165619581711 53.61316951174849, -113.4916700850719 53.61237799610396, -113.49170280384858 53.608101500117726, -113.49196042593408 53.60811060429439, -113.49297831155594 53.6081198836949, -113.49430718354277 53.608103436661956, -113.49456992045742 53.60808540891181, -113.49544557903066 53.6080995338852, -113.49584988669997 53.60815580502522, -113.49592640692279 53.60817429972284, -113.49601080941324 53.60816328852244, -113.49642150938897 53.60810649120744, -113.49735848793483 53.60808939137552, -113.4981757974935 53.60809740973857, -113.49980870579327 53.60809929708119, -113.49976271951351 53.60936799786571, -113.4997593188842 53.61007830030709, -113.49883701452974 53.610079602278745, -113.49850699802346 53.610122608113784, -113.49806147789653 53.610257697427954, -113.49805479597633 53.610261785881, -113.4977112896739 53.610471810414786, -113.49744500575142 53.610827887574374, -113.49743900219309 53.61200589513183, -113.4974273968429 53.61283340410117, -113.49871099001707 53.612806496586735, -113.49910378592567 53.6135717110522, -113.49919660484515 53.613605692697746, -113.4999976133315 53.613597904619375, -113.50045431241253 53.61313869613771, -113.50110859256641 53.612954305874275, -113.5040863037454 53.612936803809575, -113.50552249258189 53.61293381083646, -113.50774959478296 53.61290695941824, -113.50770774579028 53.614076020971375, -113.5077034749435 53.61419556441414, -113.50229948142444 53.61417010750025, -113.50000030675352 53.61415519131284, -113.49748361211297 53.614147716831376)))",Edmonton,0.3799,48,48110295.0,INTERSECTS,Census Dissemination Area
2021S051248110298,48110298,Alberta,363,3,-0.133,4,0.034,5,1.617,3,0.031,53.617123,-113.503756,349.0,205.0,184.0,4817133.7505,2176005.4938,3802,"MULTIPOLYGON (((-113.50212694832243 53.61755328928829, -113.50225258517777 53.616077792262615, -113.50365609052909 53.616107308546326, -113.50369673148118 53.61468478436318, -113.50595948964556 53.614695815904774, -113.50614652247666 53.61471521813679, -113.50612387381605 53.615113057936604, -113.50604746554649 53.61533105561831, -113.50573157676965 53.61569196598646, -113.50549067924 53.615974699841686, -113.50519319984396 53.61617793848831, -113.5048100774083 53.61635951394807, -113.5043643362091 53.61650122194619, -113.50440082346772 53.61671550791216, -113.50442651997139 53.61728398451105, -113.50442770624798 53.61793771143838, -113.50423403124869 53.618132207798865, -113.50395403614114 53.618375013386824, -113.50367578979848 53.618498474612736, -113.50282547970359 53.61878824887279, -113.50260132092095 53.618535602744444, -113.50227029567867 53.61810419481907, -113.50218002450963 53.617943705731065, -113.50212694832243 53.61755328928829)))",Edmonton,0.0632,48,48110298.0,INTERSECTS,Census Dissemination Area
2021S051248110300,48110300,Alberta,415,3,-0.206,5,1.049,2,-0.602,5,1.031,53.607583,-113.488442,405.0,156.0,149.0,4817725.9442,2174687.0439,3797,"MULTIPOLYGON (((-113.48600877550176 53.614501800420484, -113.48598523015858 53.614368681206535, -113.4858838148905 53.61399990911831, -113.48676580214725 53.61398174863929, -113.48781686990019 53.6139967977658, -113.48809094230964 53.61397618993628, -113.48821165957999 53.61393739209424, -113.48824546244676 53.613869668069285, -113.48826010658308 53.612648778458436, -113.48824317824217 53.612337731116305, -113.48815767627448 53.61215213175138, -113.48800545217395 53.61198061974305, -113.48849021263494 53.611840538705145, -113.48871814627896 53.61178624190666, -113.48905178689895 53.61177160023304, -113.49028488776958 53.611793568317005, -113.49040039458468 53.6117746387224, -113.49043581328358 53.61169150230553, -113.49041593538591 53.611406956185526, -113.49040424519971 53.61053955742287, -113.49038604600885 53.60962486048509, -113.49037180141916 53.60779261122095, -113.49024848356683 53.60775030348395, -113.48799499881552 53.60773420189583, -113.48659212075323 53.607529598813116, -113.48633070683474 53.60822740939606, -113.4864944209718 53.608749289918805, -113.48679125080449 53.60961739835539, -113.48682316896713 53.609710953899295, -113.48532350862025 53.609924007965695, -113.48487170363163 53.608869098047215, -113.48478330716509 53.608394400326226, -113.48475661169819 53.607423896286406, -113.48482480347774 53.60678409529606, -113.48499629166426 53.60635800059391, -113.48862372087159 53.60685799886237, -113.49090738434575 53.60687339674685, -113.49170981271931 53.60689260846242, -113.49169251899207 53.60736950112452, -113.49170280384858 53.608101500117726, -113.4916700850719 53.61237799610396, -113.49165619581711 53.61316951174849, -113.4916584870579 53.613978614722214, -113.49165644271443 53.61406117580664, -113.49165571646286 53.61409130503112, -113.49165290145821 53.61414059505581, -113.49075978237701 53.614123196286656, -113.49004900561256 53.61412001035357, -113.48968649312977 53.61412758767406, -113.48791079714711 53.61427240740761, -113.48600877550176 53.614501800420484)))",Edmonton,0.1803,48,48110300.0,INTERSECTS,Census Dissemination Area
2021S051248110301,48110301,Alberta,271,2,-0.592,3,-0.371,3,-0.167,4,0.307,53.609677,-113.488553,316.0,119.0,117.0,4817795.6059,2174905.805,3797,"MULTIPOLYGON (((-113.48905178689895 53.61177160023304, -113.48871814627896 53.61178624190666, -113.48849021263494 53.611840538705145, -113.48800545217395 53.61198061974305, -113.48742278232126 53.61136648540696, -113.48732427973731 53.611198111203734, -113.48731345280791 53.61106746162152, -113.48719672468636 53.61087070519593, -113.48702931213714 53.61023378760965, -113.48682316896713 53.609710953899295, -113.48679125080449 53.60961739835539, -113.4864944209718 53.608749289918805, -113.48633070683474 53.60822740939606, -113.48659212075323 53.607529598813116, -113.48799499881552 53.60773420189583, -113.49024848356683 53.60775030348395, -113.49037180141916 53.60779261122095, -113.49038604600885 53.60962486048509, -113.49040424519971 53.61053955742287, -113.49041593538591 53.611406956185526, -113.49043581328358 53.61169150230553, -113.49040039458468 53.6117746387224, -113.49028488776958 53.611793568317005, -113.48905178689895 53.61177160023304)))",Edmonton,0.1063,48,48110301.0,INTERSECTS,Census Dissemination Area
2021S051248110302,48110302,Alberta,350,3,-0.265,3,-0.127,2,-0.511,4,0.192,53.612377,-113.485749,320.0,126.0,121.0,4818066.5703,2175123.8113,3797,"MULTIPOLYGON (((-113.48341477577222 53.611398678908955, -113.48350949918509 53.61102907401795, -113.48379560984422 53.611044710461, -113.4841208267427 53.61105776452465, -113.48440204022484 53.61102824992431, -113.48470079059399 53.610965431382034, -113.48506588651667 53.61082572420341, -113.48530338370566 53.610656767902576, -113.48541644985924 53.610515110212155, -113.48544688653243 53.61035695380548, -113.48542490122767 53.6101839106957, -113.48532350862025 53.609924007965695, -113.48682316896713 53.609710953899295, -113.48702931213714 53.61023378760965, -113.48719672468636 53.61087070519593, -113.48731345280791 53.61106746162152, -113.48732427973731 53.611198111203734, -113.48742278232126 53.61136648540696, -113.48800545217395 53.61198061974305, -113.48815767627448 53.61215213175138, -113.48824317824217 53.612337731116305, -113.48826010658308 53.612648778458436, -113.48824546244676 53.613869668069285, -113.48821165957999 53.61393739209424, -113.48809094230964 53.61397618993628, -113.48781686990019 53.6139967977658, -113.48676580214725 53.61398174863929, -113.4858838148905 53.61399990911831, -113.48526435999392 53.61399643176356, -113.48454150078257 53.614017540469845, -113.48379148636299 53.61416010624657, -113.48371745751939 53.61408519206541, -113.48374664522281 53.613945798760206, -113.4837380042171 53.61311478310428, -113.4835059359682 53.61212205493687, -113.48338217801988 53.61166833850199, -113.48341477577222 53.611398678908955)))",Edmonton,0.1135,48,48110302.0,INTERSECTS,Census Dissemination Area
2021S051248110303,48110303,Alberta,740,5,1.084,5,2.113,1,-0.718,2,-0.381,53.609538,-113.481368,758.0,227.0,220.0,4818232.0086,2174735.3571,3797,"MULTIPOLYGON (((-113.47772058972244 53.609386203527464, -113.47718019788009 53.60925757331832, -113.47633669066619 53.60905005919016, -113.47696785724803 53.608136942351045, -113.47762081746176 53.608272101477404, -113.47856891477015 53.6084802069262, -113.4786361085089 53.60849500450158, -113.47939613624226 53.60857089896091, -113.47963847703964 53.60857309741356, -113.48075075091904 53.60857567548661, -113.48087196185419 53.60854524201286, -113.48105449911617 53.608341010481574, -113.48171370032918 53.60735220933327, -113.48243478012022 53.60753520530604, -113.4824687864795 53.60837060256355, -113.48257648078467 53.608404091521294, -113.48383148870346 53.60840529960829, -113.48478330716509 53.608394400326226, -113.48487170363163 53.608869098047215, -113.48532350862025 53.609924007965695, -113.48542490122767 53.6101839106957, -113.48544688653243 53.61035695380548, -113.48541644985924 53.610515110212155, -113.48530338370566 53.610656767902576, -113.48506588651667 53.61082572420341, -113.48470079059399 53.610965431382034, -113.48440204022484 53.61102824992431, -113.4841208267427 53.61105776452465, -113.48379560984422 53.611044710461, -113.48350949918509 53.61102907401795, -113.48202945851179 53.61089055208804, -113.48136712243894 53.61083353021593, -113.48079160537647 53.61082868130501, -113.48014100874585 53.61083488457647, -113.47828763285474 53.6109681915665, -113.47817387205112 53.61042901449205, -113.47798609819087 53.60954424517161, -113.4779379336308 53.60946563731936, -113.47772058972244 53.609386203527464)))",Edmonton,0.1471,48,48110303.0,INTERSECTS,Census Dissemination Area
2021S051248110304,48110304,Alberta,298,3,-0.263,5,0.795,1,-0.757,5,0.714,53.612101,-113.479599,244.0,105.0,104.0,4818434.3321,2174961.7415,3797,"MULTIPOLYGON (((-113.47626663102274 53.61204082925135, -113.47609092266748 53.61113154204987, -113.47828763285474 53.6109681915665, -113.48014100874585 53.61083488457647, -113.48079160537647 53.61082868130501, -113.48136712243894 53.61083353021593, -113.48202945851179 53.61089055208804, -113.48187746420284 53.61150352886408, -113.48186180136453 53.611795590497266, -113.4819975018594 53.61215562584354, -113.48211034578817 53.612674544140745, -113.48223113098014 53.6131243784338, -113.4822464574106 53.61350610072274, -113.48218903354531 53.613562112315286, -113.4820316781693 53.613584575127064, -113.48001565416847 53.613575329257905, -113.47824251871901 53.613618630415274, -113.47811552689741 53.6135870336583, -113.47806112696735 53.61351241668926, -113.4779982482025 53.613092556685146, -113.4779426444198 53.61281252203603, -113.47775881589165 53.611936898208626, -113.47626663102274 53.61204082925135)))",Edmonton,0.094,48,48110304.0,INTERSECTS,Census Dissemination Area
2021S051248110305,48110305,Alberta,404,5,2.46,5,2.746,1,-1.102,2,-0.333,53.610299,-113.476652,381.0,109.0,103.0,4818549.5937,2174711.4547,3797,"MULTIPOLYGON (((-113.47606948132724 53.60942902039374, -113.47633669066619 53.60905005919016, -113.47718019788009 53.60925757331832, -113.47772058972244 53.609386203527464, -113.4779379336308 53.60946563731936, -113.47798609819087 53.60954424517161, -113.47817387205112 53.61042901449205, -113.47828763285474 53.6109681915665, -113.47609092266748 53.61113154204987, -113.47601126258597 53.61083079696887, -113.47589441606956 53.61024443713611, -113.47588452397531 53.610015935778755, -113.47595146535231 53.60969640676918, -113.47606948132724 53.60942902039374)))",Edmonton,0.0285,48,48110305.0,INTERSECTS,Census Dissemination Area
2021S051248110306,48110306,Alberta,507,3,-0.337,5,1.318,3,-0.345,5,0.761,53.608162,-113.470034,460.0,188.0,182.0,4818878.2307,2174346.9235,3797,"MULTIPOLYGON (((-113.46729343058864 53.61051818237971, -113.46731447503667 53.60697579389769, -113.46755670615211 53.606979810024434, -113.46785919297682 53.60698250122337, -113.4693567153827 53.60699658947277, -113.4708701951573 53.60691575491893, -113.47160008417075 53.60681664433259, -113.47230481578816 53.60670359836803, -113.4737774844328 53.606443440090295, -113.4767561389207 53.605930646275084, -113.4771213982822 53.606988097650934, -113.47717740526885 53.607336421134114, -113.4771752216519 53.607561488102924, -113.47713696160369 53.607785152263766, -113.47705516242269 53.60796106317636, -113.47696785724803 53.608136942351045, -113.47633669066619 53.60905005919016, -113.47606948132724 53.60942902039374, -113.47595146535231 53.60969640676918, -113.47588452397531 53.610015935778755, -113.47589441606956 53.61024443713611, -113.47601126258597 53.61083079696887, -113.47609092266748 53.61113154204987, -113.47455824946337 53.61124739323638, -113.47371209087389 53.611295208530066, -113.47332733539133 53.61127613706031, -113.47307111581317 53.61121155449101, -113.47281991043096 53.611104939802274, -113.47264418225497 53.6109644632373, -113.47248911564604 53.61074537585264, -113.47243927899173 53.61052637838587, -113.46860463806131 53.61051872591343, -113.46756574090745 53.61052160734831, -113.46729343058864 53.61051818237971)))",Edmonton,0.2837,48,48110306.0,INTERSECTS,Census Dissemination Area
2021S051248110307,48110307,Alberta,331,1,-0.905,4,0.621,3,-0.186,5,1.877,53.612118,-113.471428,349.0,143.0,141.0,4818937.0178,2174786.0802,3797,"MULTIPOLYGON (((-113.4686111519335 53.611430298519316, -113.46860463806131 53.61051872591343, -113.47243927899173 53.61052637838587, -113.47248911564604 53.61074537585264, -113.47264418225497 53.6109644632373, -113.47281991043096 53.611104939802274, -113.47307111581317 53.61121155449101, -113.47332733539133 53.61127613706031, -113.47371209087389 53.611295208530066, -113.47455824946337 53.61124739323638, -113.47474597051591 53.61215528467466, -113.47504819611251 53.61357150719273, -113.47496820700897 53.61359332234623, -113.47355064208324 53.61358214200737, -113.47211273991891 53.61357936405, -113.47008763276375 53.61358226436967, -113.46859758702459 53.61359310448572, -113.4686111519335 53.611430298519316)))",Edmonton,0.128,48,48110307.0,INTERSECTS,Census Dissemination Area
2021S051248110308,48110308,Alberta,1051,2,-0.407,4,0.505,1,-0.734,3,-0.033,53.614085,-113.472131,886.0,341.0,327.0,4818965.6653,2175004.4955,3797,"MULTIPOLYGON (((-113.47257192139945 53.61596610141797, -113.46811289716933 53.61599530194343, -113.46755361217672 53.61599779448524, -113.46732649967232 53.615993493481724, -113.46731860098151 53.615858810732796, -113.46729758816859 53.615238806290414, -113.46729343058864 53.61051818237971, -113.46756574090745 53.61052160734831, -113.46860463806131 53.61051872591343, -113.4686111519335 53.611430298519316, -113.46859758702459 53.61359310448572, -113.47008763276375 53.61358226436967, -113.47211273991891 53.61357936405, -113.47355064208324 53.61358214200737, -113.47496820700897 53.61359332234623, -113.47504819611251 53.61357150719273, -113.47474597051591 53.61215528467466, -113.47455824946337 53.61124739323638, -113.47609092266748 53.61113154204987, -113.47626663102274 53.61204082925135, -113.47775881589165 53.611936898208626, -113.4779426444198 53.61281252203603, -113.4779982482025 53.613092556685146, -113.47806112696735 53.61351241668926, -113.47811552689741 53.6135870336583, -113.47824251871901 53.613618630415274, -113.48001565416847 53.613575329257905, -113.4820316781693 53.613584575127064, -113.48218903354531 53.613562112315286, -113.4822464574106 53.61350610072274, -113.48223113098014 53.6131243784338, -113.48211034578817 53.612674544140745, -113.4819975018594 53.61215562584354, -113.48186180136453 53.611795590497266, -113.48187746420284 53.61150352886408, -113.48202945851179 53.61089055208804, -113.48350949918509 53.61102907401795, -113.48341477577222 53.611398678908955, -113.48338217801988 53.61166833850199, -113.4835059359682 53.61212205493687, -113.4837380042171 53.61311478310428, -113.48374664522281 53.613945798760206, -113.48371745751939 53.61408519206541, -113.48379148636299 53.61416010624657, -113.48454150078257 53.614017540469845, -113.48526435999392 53.61399643176356, -113.4858838148905 53.61399990911831, -113.48598523015858 53.614368681206535, -113.48600877550176 53.614501800420484, -113.48334993274415 53.614838174417116, -113.48105468635961 53.61512892780612, -113.47620011733454 53.6156932066934, -113.47396028645672 53.61591940973304, -113.47257192139945 53.61596610141797)))",Edmonton,0.3603,48,48110308.0,INTERSECTS,Census Dissemination Area
2021S051248110309,48110309,Alberta,965,3,-0.273,4,0.554,1,-0.691,3,0.032,53.614327,-113.464568,862.0,312.0,306.0,4819439.2223,2174865.3793,3795,"MULTIPOLYGON (((-113.46030803922257 53.61582486167734, -113.45594349842428 53.615787211861004, -113.45488791366046 53.61583579990449, -113.45481014779806 53.61579058110241, -113.45390199320305 53.61526260530253, -113.45567109081429 53.61526229820362, -113.45572198462784 53.61523900568682, -113.45577421107211 53.61521529511113, -113.45579031380143 53.61366848750672, -113.4557678203228 53.612760798629196, -113.45565388594494 53.61227793364108, -113.45717481186281 53.612255388259825, -113.45729618218141 53.612783392099395, -113.45728281583663 53.61359289099132, -113.45734471785883 53.613644203190596, -113.45734628195412 53.61364550602277, -113.45867779535577 53.61366319196063, -113.45878050596573 53.61360689765187, -113.45877880809928 53.612537203985454, -113.45861519188036 53.612063993254985, -113.46006850737449 53.61183629397467, -113.46027021028642 53.61244359354688, -113.46028078034429 53.61366609950712, -113.46325911436489 53.613658798313345, -113.4647556096238 53.61365489057978, -113.46611699661595 53.61366280882488, -113.46627840266426 53.613578608414905, -113.46625088669776 53.61051319055578, -113.46729343058864 53.61051818237971, -113.46729758816859 53.615238806290414, -113.46731860098151 53.615858810732796, -113.46732649967232 53.615993493481724, -113.46649481399085 53.61599270382308, -113.46484437501148 53.61595479457613, -113.46334141594076 53.61585091001187, -113.46030803922257 53.61582486167734)))",Edmonton,0.2512,48,48110309.0,INTERSECTS,Census Dissemination Area
